;time;temperatura_mandata_mt;temperatura_valle_uta;temperatura_valle_gc;temperatura_valle_rig_pdc;temperatura_uscita_rig_fascio;t_rec;temperatura_asp_eiettori;temperatura_out_rig_liquida_mt_bt;temperatura_out_evap_mt;temperatura_aspirazione_bt;temperatura_mandata_bt;temperatura_uscita_intercooler;temperatura_out_ev_mt_intercooler;temperatura_aspirazione_mt;temperatura_asp_aux_pdc;temperatura_asp_aux;temperatura_monte_pdc;t_out_uta_1e2_gc;t_out_uta_1_evap;t_out_uta_2_evap;temp_out_evap_1_2;t_out_evap_bt;pressione_mandata;pressione_ricevitore;p_out_evap_uta;pressione_spirazione_bt;pressione_aspirazione_aux_pdc;pressione_aspirazione_mt;pressione_monte_eiettore;portata_liquido_evap_uta;portata_gas_uta_heating;portata_liquido_mt;portata_liquido_bt;portata_gas_back_up_uta;inverter_aux_1;inverter_bt_1;inverter_mt_1;stato_mt1;stato_mt2;stato_mt3;stato_aux1;stato_aux2;stato_aux3;stato_aux4;stato_lt1;stato_lt2;stato_lt3;stato_level_asp1;stato_level_asp2;potenza_elettrica_totale;potenza_elettrica_mt;potenza_elettrica_aux;potenza_elettrica_lt;temp_out_acs;id;tin_acs;portata_acqua_acs;Calculated values ==>;Timestamp seconds;T1 MT discharge;T2 After AHU;T3 GC Outlet;T4 Inlet IHX 1;T5 Inlet IHX 2;T6 Receiver;T6 Receiver sat;T7 Ejector inlet;T8 Liquid out IHX;T9 MT section outlet;T10 LT suction;T11 LT discharge;T12 Intercooler outlet;T13 out intercooler and MT section;T14 MT suction;T15 Aux_HP suction;T16 Aux suction;T17 Inlet AHU (heating);T18 Outlet AHU (heating);T19 Outlet AHU (cooling);T20 Outlet AHU (cooling);T21 Water in DHW;T22 Water out DHW;T23 LT section outlet;LT evaporation temp;MT evaporation temp;AHU saturation temp;Tair external air;P1 discharge;P2 receiver;P3 AHU evaporation;P4 LT suction;P5 Aux HP suction;P6 MT suction;P7 ejector inlet;M1 AHU liquid (cooling);M2 AHU vapour (heating);M3 MT liquid;M4 LT liquid;M5 AHU (no ejectors);Mtotal AHU;DHW water;Power Meter MT;Power Meter AUX;Power Meter LT;Total Power;h1 Enthalpy;h2 Enthalpy;h3 Enthalpy;h4 Enthalpy;h5 Enthalpy;h6 Enthalpy sat;h7 Enthalpy;h9 Enthalpy;h10 Enthalpy;h11 Enthalpy;h12 Enthalpy;h13 Enthalpy;h14 Enthalpy;h15 Enthalpy;h16 Enthalpy;h17 Enthalpy;h18 Enthalpy;h19 Enthalpy;h20 Enthalpy;h21 Enthalpy;h22 Enthalpy;h23 Enthalpy;h8 Enthalpy calc;hmix Enthalpy;T8 calculated;Accumulated Etot;Accumulated E_MT;Accumulated E_LT;Accumulated E_AUX;Number of Cycles MT1;Number of Cycles MT2;Number of Cycles MT3;Number of Cycles AUX1;Number of Cycles AUX2;Number of Cycles AUX3;Number of Cycles AUX4;Number of Cycles LT1;Number of Cycles LT2;Number of Cycles LT3;Accumulated Pevap P3;Accumulated Pevap P4;Accumulated Pevap P6;Cooling duty MT evap;Cooling duty LT evap;Heating duty rooftop heating;Cooling duty rooftop AC;Accumulated cooling MT evap;Accumulated cooling LT evap;Accumulated heating rooftop;Accumulated cooling rooftop;COPtot;ntot
0;2019-09-19 17:00:45.105;673;632;228;229;216;47;37;38;-3;35;803;278;9;44;222;146;253;572;223;41;38;-172;705;369;374;132;374;302;705;131.0;-2.0;1987.0;315.0;0.0;0;88;1;1;1;0;0;0;0;0;1;0;1;0;0;30099.806640625;23779.171875;0.0;2909.681640625;624.0;381591;617.0;1185.0;Calculated values ==>;1568905245.105;340.46000000000004;336.36;295.96000000000004;296.06;294.76000000000005;277.86;275.3239800832674;276.86;276.96000000000004;272.86;276.66;353.46000000000004;300.96000000000004;274.06;277.56;295.36;287.76000000000005;298.46000000000004;330.36;277.26000000000005;276.96000000000004;334.86;335.56;255.96000000000004;240.83765695389522;267.8393353686513;275.3239800832674;295.46000000000004;7050000.0;3690000.0;3740000.0;1320000.0;3740000.0;3020000.0;7050000.0;0.021833333333333333;0.0;0.33116666666666666;0.0525;0.0;0.021833333333333333;2.9835837444198807;23779.171875;0.0;2909.681640625;30099.806640625;482417.79957695736;476070.9510686442;259609.52447141183;259987.32699686894;255241.3205425898;429537.3511455088;431190.16117913154;441368.7326958178;473242.3297776949;534242.2616306611;477428.97024696524;443139.33368828957;448123.7737234782;460421.10785355425;450431.7136929287;269943.1893972844;466234.30554984295;431956.8040880543;431382.7989323331;258822.4845140824;261751.83340796042;452675.18304126273;202696.86485801736;202696.86485801736;274.29642124895446;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;79040.16689895157;13123.861704620382;-0.0;4992.976227289228;0.0;0.0;0.0;0.0;3.6403588776857942;0.3263376192586044
1;2019-09-19 17:01:45.117;699;645;218;219;201;51;38;40;-23;38;813;271;-14;27;220;150;254;586;223;41;38;-153;764;363;368;138;368;297;764;110.0;-1.0;2552.0;201.0;0.0;0;98;0;1;1;0;0;0;0;0;1;0;1;0;0;30694.9453125;25607.1640625;0.0;2912.9775390625;633.0;381592;623.0;1185.0;Calculated values ==>;1568905305.117;343.06000000000006;337.66;294.96000000000004;295.06;293.26000000000005;278.26000000000005;274.69669130483857;276.96000000000004;277.16;270.86;276.96000000000004;354.46000000000004;300.26000000000005;271.76000000000005;275.86;295.16;288.16;298.56;331.76000000000005;277.26000000000005;276.96000000000004;335.46000000000004;336.46000000000004;257.86;242.14157278889297;267.23344911666527;274.69669130483857;295.46000000000004;7640000.000000001;3629999.9999999995;3679999.9999999995;1380000.0;3679999.9999999995;2970000.0;7640000.000000001;0.018333333333333333;0.0;0.42533333333333334;0.033499999999999995;0.0;0.018333333333333333;2.982131319488186;25607.1640625;0.0;2912.9775390625;30694.9453125;479873.62524603296;471029.7198366579;253637.21144930975;253964.7362856991;248244.01935478864;429947.3805835815;432929.84295338165;439444.0457998233;472752.1489716358;535646.4540152833;477243.63031805056;440794.2302202101;446703.0798258108;461076.52890312666;452091.1990755426;266406.00981392374;460608.3445183765;433484.00545957795;432929.84295338165;261333.34086894934;265518.4816520846;453615.7035341334;202458.44976970222;202458.44976970222;274.17622189821975;506.7242582379217;411.6351106147106;48.53186433056434;0.0;0;0;0;0;0;0;0;0;0;0;222644520.3113556;81016200.11329651;179735940.2513504;100797.87351147817;8413.768001108443;-0.0;4225.308875034123;1498.9500689171277;179.51614384829276;0.0;76.83440643531364;3.9774329304664464;0.33888857145707824
2;2019-09-19 17:02:45.116;751;668;218;217;197;53;40;43;-31;41;805;269;-32;15;220;154;255;601;225;44;40;-134;736;370;375;144;375;290;735;132.0;-1.0;2829.0;686.0;0.0;0;99;0;1;1;0;1;0;0;0;1;0;1;0;0;33138.359375;24768.375;3847.92065429688;2793.34594726562;648.0;381593;635.0;1183.0;Calculated values ==>;1568905365.116;348.26;339.96000000000004;294.96000000000004;294.86;292.86;278.46000000000004;275.4277932560699;277.16;277.46000000000004;270.06;277.26000000000005;353.66;300.06;269.96000000000004;274.66;295.16;288.56;298.66;333.26000000000005;277.56;277.16;336.66;337.96000000000004;259.76000000000005;243.40439225979637;266.37251300914875;275.4277932560699;295.66;7359999.999999999;3700000.0;3750000.0;1440000.0;3750000.0;2900000.0;7350000.0;0.022000000000000002;0.0;0.4715;0.11433333333333334;0.0;0.022000000000000002;2.974650337265313;24768.375;3847.92065429688;2793.34594726562;33138.359375;490778.4276533152;478251.2751534864;254711.32641967532;254372.30281482998;247867.37208159853;429467.9694778635;431505.12805928;439774.0559307984;472259.5391352755;535329.6683546561;477886.7740849981;439624.99903046206;446379.41274587176;459990.1502417857;451435.20588761574;268543.0358782758;467219.68992588675;432268.69537578704;431505.12805928;266355.56789118156;271797.11229066993;454582.57985912164;202293.37097106638;202293.37097106638;274.14365753861193;1038.6595967591518;831.4242717052182;96.0837673735223;32.06547093036627;0;0;0;1;0;0;0;0;0;0;445540804.694891;165614789.87932205;355833004.76431847;111972.14295851365;28845.066216200987;-0.0;5042.6586559407;3272.003983205478;490.0012532957431;0.0;154.06618176212447;4.643792809893107;0.4546608804934109
3;2019-09-19 17:03:45.117;777;687;229;229;208;59;44;49;-23;44;786;269;-17;9;219;162;256;608;226;47;44;-117;711;376;381;146;381;287;709;170.0;-1.0;2777.0;572.0;0.0;14;99;0;1;1;0;1;0;0;0;1;0;1;0;0;32707.73046875;24027.115234375;4105.6396484375;2749.30859375;659.0;381594;646.0;1187.0;Calculated values ==>;1568905425.117;350.86;341.86;296.06;296.06;293.96000000000004;279.06;276.0463484220469;277.56;278.06;270.86;277.56;351.76;300.06;271.46000000000004;274.06;295.06;289.36;298.76000000000005;333.96000000000004;277.86;277.56;337.76;339.06000000000006;261.46000000000004;243.81672145450628;265.9988726020314;276.0463484220469;295.76000000000005;7109999.999999999;3760000.0;3810000.0;1460000.0;3810000.0;2870000.0;7090000.000000001;0.028333333333333332;0.0;0.4628333333333333;0.09533333333333333;0.0;0.028333333333333332;2.9828825281868028;24027.115234375;4105.6396484375;2749.30859375;32707.73046875;496968.5373274625;484093.255778317;259783.40330896797;259783.40330896797;252322.86224939371;429045.3911783415;430697.1823241319;441592.25332493;472292.90834925044;533588.550693572;478258.8118813784;442459.1047491345;446127.695248014;458905.66924145096;451548.852960479;270844.29836724635;471724.0688672671;431284.2346171729;430697.1823241319;270959.89632461156;276402.16793126165;456018.90017477935;204520.16336102757;204520.16336102757;275.0355378892889;1587.3861589315545;1238.060135267694;142.2733251561921;98.34624496427932;0;0;0;1;0;0;0;0;0;0;672344585.3221416;252616240.11993408;528935890.24305344;109724.86563829282;23976.21290957767;-0.0;6408.348870621288;5119.509851206206;930.1859168500449;0.0;249.49283516509928;4.536919222539187;0.42965342889772756
4;2019-09-19 17:04:45.107;781;695;246;246;224;59;46;47;-13;48;764;271;-8;17;219;170;257;600;223;49;46;-101;668;373;377;150;377;299;667;151.0;-2.0;2083.0;373.0;0.0;70;99;100;1;0;0;1;0;0;0;1;0;1;0;0;25003.708984375;13114.0419921875;5741.7451171875;2862.17211914062;664.0;381595;654.0;1188.0;Calculated values ==>;1568905485.107;351.26;342.66;297.76000000000005;297.76000000000005;295.56;279.06;275.73799182748917;277.76000000000005;277.86;271.86;277.96000000000004;349.56000000000006;300.26000000000005;272.36;274.86;295.06;290.16;298.86;333.16;278.06;277.76000000000005;338.56000000000006;339.56000000000006;263.06;244.62907804385475;267.47669482898436;275.73799182748917;295.46000000000004;6680000.0;3729999.9999999995;3770000.0000000005;1500000.0;3770000.0000000005;2990000.0;6670000.0;0.025166666666666667;0.0;0.3471666666666666;0.06216666666666667;0.0;0.025166666666666667;2.984558042649049;13114.0419921875;5741.7451171875;2862.17211914062;25003.708984375;501559.9289657715;489731.3264156976;269872.114840084;269872.114840084;260110.46285327457;429258.0297950786;432133.7774447223;440514.6608285658;472162.9381508405;530408.5386915257;476992.82729936234;441260.4188921009;444899.4758313612;459538.1508343095;453249.13134011615;275807.73743274383;475625.5350693031;432702.87616613397;432133.7774447223;274308.8830629234;278495.58437821403;457034.844657027;204228.5617329753;204228.5617329753;274.9087640580807;2068.2346663403528;1547.5181939309844;189.02787071450092;180.39410776757873;0;0;0;1;0;0;0;0;0;0;899706685.3582859;341401440.13404846;704706590.2709961;82030.65740268581;15716.123921778548;-0.0;5735.614595412299;6717.206216353015;1260.9002622516555;0.0;350.67566411553935;4.764830564006426;0.4329144677632255
5;2019-09-19 17:05:45.118;755;682;248;248;229;52;47;42;-21;47;746;272;-20;46;219;176;257;547;224;48;46;-97;644;367;372;141;372;306;643;126.0;-1.0;1682.0;186.0;0.0;84;0;100;1;0;0;1;0;0;0;1;1;1;0;0;26553.4375;12608.568359375;5893.5556640625;3949.5693359375;659.0;381596;652.0;1190.0;Calculated values ==>;1568905545.118;348.66;341.36;297.96000000000004;297.96000000000004;296.06;278.36;275.1157276137837;277.86;277.36;271.06;277.86;347.76;300.36;271.16;277.76000000000005;295.06;290.76000000000005;298.86;327.86;277.96000000000004;277.76000000000005;338.36;339.06000000000006;263.46000000000004;242.77792619122317;268.3187672390254;275.1157276137837;295.56;6440000.000000001;3670000.0000000005;3720000.0000000005;1410000.0;3720000.0000000005;3060000.0;6430000.0;0.021;0.0;0.2803333333333333;0.031000000000000003;0.0;0.021;2.9904214056801144;12608.568359375;5893.5556640625;3949.5693359375;26553.4375;500295.901423187;490383.2940228225;273644.23331775406;273644.23331775406;263796.5671048556;429675.2189834977;433590.0119802689;437742.05038880615;473243.34684981237;527993.2107690171;476226.25737518317;437898.67151236854;447649.2082961263;460320.8148626427;455134.3998558905;399155.9711211383;470314.65384506655;433774.37643441686;433405.0875029962;273471.60554148915;276402.16793126165;458869.0855255645;203500.6606953763;203500.6606953763;274.59915461655646;2497.956320985536;1761.9125783334775;245.80278958978164;277.3727236327611;0;0;0;1;0;0;0;0;1;0;1124447880.051136;428717445.0147152;886239865.0228977;65665.6695773915;7916.421169735835;-0.0;4827.992962960018;7948.234586670787;1457.8742430222976;0.0;438.72186582652495;3.492390638648474;0.2997231510705686
6;2019-09-19 17:06:45.118;717;669;244;244;225;46;44;37;-21;45;737;275;-21;47;219;180;256;527;224;43;44;-119;642;363;368;135;368;306;641;-1.0;-1.0;1823.0;310.0;0.0;82;0;100;1;0;0;1;0;0;0;1;1;1;1;0;26780.046875;12631.51171875;5837.84765625;3965.02197265625;652.0;381597;646.0;1190.0;Calculated values ==>;1568905605.118;344.86;340.06000000000006;297.56;297.56;295.66;277.76000000000005;274.69669130483857;277.56;276.86;271.06;277.66;346.86;300.66;271.06;277.86;295.06;291.16;298.76000000000005;325.86;277.46000000000004;277.56;337.76;338.36;261.26000000000005;241.49495122638035;268.3187672390254;274.69669130483857;295.56;6420000.0;3629999.9999999995;3679999.9999999995;1350000.0;3679999.9999999995;3060000.0;6409999.999999999;0.0;0.0;0.30383333333333334;0.051666666666666666;0.0;0.0;2.991588619043222;12631.51171875;5837.84765625;3965.02197265625;26780.046875;495336.7669416598;488761.44478364656;271522.4650385058;271522.4650385058;262166.2535915148;429947.3805835815;434033.169636506;437742.05038880615;473825.7953575257;527050.2660827636;476577.23656929575;437742.05038880615;447789.5392935794;460940.765792692;456364.2951047695;399758.0261677248;467365.430981369;433850.6589431533;434033.169636506;270959.89632461156;273471.60554148915;457579.4881529018;201440.78409495568;203500.6606953763;273.7789523894238;2942.402024110536;1972.2465789845191;311.7577171613962;375.1344179686986;0;0;0;1;0;0;0;0;1;0;1346447880.051136;511517445.0147152;1069839865.0228977;71796.20140894824;13233.833042993883;-0.0;0.0;9093.75017822362;1634.126361461712;0.0;478.9551405178584;3.7901662245224035;0.366868038356023
7;2019-09-19 17:07:45.129;691;659;241;240;220;43;44;33;-21;43;743;277;-22;44;220;181;256;525;220;42;44;-138;646;360;365;132;365;306;646;-1.0;0.0;1791.0;321.0;0.0;80;0;100;1;0;0;1;0;0;0;1;1;1;0;0;26638.951171875;12706.7978515625;5833.2060546875;3975.0498046875;645.0;381598;640.0;1188.0;Calculated values ==>;1568905665.129;342.26;339.06000000000006;297.26000000000005;297.16;295.16;277.46000000000004;274.38016830617;277.56;276.46000000000004;271.06;277.46000000000004;347.46000000000004;300.86;270.96000000000004;277.56;295.16;291.26000000000005;298.76000000000005;325.66;277.36;277.56;337.16;337.66;259.36;240.83765695389522;268.3187672390254;274.38016830617;295.16;6459999.999999999;3600000.0;3650000.0;1320000.0;3650000.0;3060000.0;6459999.999999999;0.0;0.0;0.2985;0.0535;0.0;0.0;2.9877175795136424;12706.7978515625;5833.2060546875;3975.0498046875;26638.951171875;491334.87004872743;486805.432213819;269343.2750154445;268824.87442830537;259730.6118296833;430148.3826014536;434768.59577993193;437742.05038880615;474018.5663130017;527678.986846941;476810.94544936187;437585.1090581189;447367.9854087869;461537.0928964145;456996.27786778926;397177.01632485323;466358.9507857037;434408.92020770046;434768.59577993193;268448.3696465944;270541.29595472733;456136.9394823287;200301.65599995703;203500.6606953763;273.3183387432339;3387.641952917453;2183.43786975478;377.9371125473633;472.4110295367343;0;0;0;1;0;0;0;0;1;0;1566388194.7505474;591632129.9052238;1253473524.7719288;70875.95772507146;13687.187666306885;-0.0;0.0;10282.902807402821;1858.5093297364194;0.0;478.9551405178584;3.755849152174074;0.36018272857867445
8;2019-09-19 17:08:45.109;678;653;238;238;216;41;44;32;-22;41;755;274;-23;40;221;181;256;540;221;42;44;-140;653;360;365;129;365;305;653;-2.0;-1.0;2309.0;302.0;0.0;84;0;100;1;0;0;1;0;0;0;1;1;1;0;0;26939.404296875;12898.712890625;6061.56005859375;3971.5224609375;641.0;381599;635.0;1189.0;Calculated values ==>;1568905725.109;340.96000000000004;338.46000000000004;296.96000000000004;296.96000000000004;294.76000000000005;277.26000000000005;274.38016830617;277.56;276.36;270.96000000000004;277.26000000000005;348.66;300.56;270.86;277.16;295.26000000000005;291.26000000000005;298.76000000000005;327.16;277.36;277.56;336.66;337.26;259.16;240.16925963744896;268.19934244402924;274.38016830617;295.26000000000005;6530000.0;3600000.0;3650000.0;1290000.0;3650000.0;3050000.0;6530000.0;0.0;0.0;0.3848333333333333;0.050333333333333334;0.0;0.0;2.9908903023245585;12898.712890625;6061.56005859375;3971.5224609375;26939.404296875;488772.89234336844;485181.0186092698;267192.162376533;267192.162376533;257730.34974228666;430148.3826014536;434768.59577993193;437812.597326149;474211.1747634917;529012.0071169034;476586.57918398344;437656.05685647397;446994.97740117426;461671.84584197105;456996.27786778926;277388.5704084876;467868.0942614416;434408.92020770046;434768.59577993193;266355.56789118156;268866.9448851554;456419.310367527;200961.57304322225;203500.6606953763;273.57784368762225;3833.979419867113;2396.745999588779;444.1364743034406;571.5010394952737;0;0;0;1;0;0;0;0;1;0;1785315194.8201656;669906029.9301147;1436712424.8301983;91148.16917821298;12858.03944532334;-0.0;0.0;11632.653798340232;2079.6458189950154;0.0;478.9551405178584;4.5354585963850464;0.42021265486838244
9;2019-09-19 17:09:45.130;675;650;235;234;212;42;44;36;-23;40;768;274;-24;36;222;180;256;561;221;43;44;-130;658;360;365;135;364;303;659;-2.0;-1.0;1728.0;4.0;0.0;89;100;100;1;0;0;1;0;0;0;1;1;0;0;0;26183.388671875;13009.1767578125;6343.21484375;2995.10766601562;638.0;381600;632.0;1189.0;Calculated values ==>;1568905785.13;340.66;338.16;296.66;296.56;294.36;277.36;274.38016830617;277.56;276.76000000000005;270.86;277.16;349.96000000000004;300.56;270.76000000000005;276.76000000000005;295.36;291.16;298.76000000000005;329.26000000000005;277.46000000000004;277.56;336.36;336.96000000000004;260.16;241.49495122638035;267.9596281332873;274.38016830617;295.26000000000005;6580000.0;3600000.0;3650000.0;1350000.0;3640000.0;3030000.0;6590000.000000001;0.0;0.0;0.28800000000000003;0.0006666666666666666;0.0;0.0;2.9913818385130786;13009.1767578125;6343.21484375;2995.10766601562;26183.388671875;487815.7147328698;484084.2023082018;265307.4940194064;264856.6282091572;255890.4815016632;430148.3826014536;434768.59577993193;438109.25301780854;473338.7274854557;530522.2689267418;476838.5782877984;437953.82195464283;446814.236746235;461958.7606167715;456857.4943786723;276596.2063342535;470474.9888762503;434589.01295012434;434768.59577993193;265099.94585879904;267611.2341011182;456463.90377742366;202980.4881986811;203500.6606953763;274.3650730244105;4276.824303836455;2612.720645199036;502.2120448413591;674.9103445279699;0;0;0;1;0;0;0;0;1;0;2004391845.356226;749133750.1239777;1619176265.2766705;67717.0842679087;168.9889437191617;-0.0;0.0;12956.994270621002;2188.2423846688966;0.0;478.9551405178584;3.0377480897881655;0.24660512476335045
