CNT-Porto Mós CNT-Porto Mós 08081807.csv,,CNT-Porto Mós,1564667917,120
Name,AK-PC 782A:   Trec reference,AK-PC 782A:   Stw2,AK-PC 782A:   Pgc reference,AK-PC 782A:   HP control status,AK-PC 782A:   Pgc,AK-PC 782A:   Cond. requested cap.,AK-PC 782A:   Sgc ctrl.,AK-PC 782A:   Tc-LT,AK-PC 782A:   Suction temp. To-LT,AK-PC 782A:   Actual zone LT,AK-PC 782A:   Requested cap. LT,AK-PC 782A:   Running capacity LT,AK-PC 782A:   Superheat LT,AK-PC 782A:   Ss-LT,AK-PC 782A:   Sd-LT,AK-PC 782A:   Suction reference LT,AK-PC 782A:   Prec reference,AK-PC 782A:   Running capacity IT,AK-PC 782A:   Superheat IT,AK-PC 782A:   Ss-IT,AK-PC 782A:   Sd-IT,AK-PC 782A:   Cond. capacity,AK-PC 782A:   Sc3,AK-PC 782A:   Rec. control status,AK-PC 782A:   Vrec OD,AK-PC 782A:   V3tw,AK-PC 782A:   Stw3,AK-PC 782A:   Stw8,AK-PC 782A:   Stw4,AK-PC 782A:   Tw enable,AK-PC 782A:   Tw reference,AK-PC 782A:   Cond. temp.,AK-PC 782A:   Vhp OD,AK-PC 782A:   Cond. reference,AK-PC 782A:   Ejector status,AK-PC 782A:   Requested capacity,AK-PC 782A:   Vapor ejector capaci,AK-PC 782A:   Ejector 4 cycle,AK-PC 782A:   Ejector 6 cycle,AK-PC 782A:   Po-LT,AK-PC 782A:   Ejector 1 cycle,AK-PC 782A:   V3gc valve,AK-PC 782A:   Ejector 2 cycle,AK-PC 782A:   Ejector 3 cycle,AK-PC 782A:   Ejector OD,AK-PC 782A:   Suction accumulator,AK-PC 782A:   Setpoint MT,AK-PC 782A:   Requested capacit IT,AK-PC 782A:   Ejector 5 cycle,AK-PC 782A:   Ejector stop via DI,AK-PC 782A:   DI 6 input,AK-PC 782A:   Th2 Actual state,AK-PC 782A:   DI 7 input,AK-PC 782A:   DI 2 input,AK-PC 782A:   Prec,AK-PC 782A:   Trec,AK-PC 782A:   Suction reference IT,AK-PC 782A:   Tw setpoint,AK-PC 782A:   Liq. inj. status MT,AK-PC 782A:   Requested cap. MT,AK-PC 782A:   Suction reference MT,AK-PC 782A:   Running capacity MT,AK-PC 782A:   Superheat MT,AK-PC 782A:   Ss-MT,AK-PC 782A:   Sd-MT,AK-PC 782A:   Pc,AK-PC 782A:   Suction temp. To-MT,AK-PC 782A:   Tw control mode,AK-PC 782A:   Prec setpoint,AK-PC 782A:   Po-MT,AK-PC 782A:   Pump down limit IT,AK-PC 781A:   Comp 9 Cycles/24h,AK-PC 781A:   Comp 7 Cycles/24h,AK-PC 781A:   Comp 9 Run % 24h,AK-PC 781A:   Comp10 Cycles total,AK-PC 781A:   Comp 4 Run % 24h,AK-PC 781A:   Comp10 Cycles/24h,AK-PC 781A:   Comp 6 Run % 24h,AK-PC 781A:   Comp 8 Run % 24h,AK-PC 781A:   Comp 6 Cycles/24h,AK-PC 781A:   Comp 5 Cycles/24h,AK-PC 781A:   Comp 8 Cycles/24h,AK-PC 781A:   Comp 8 Cycles total,AK-PC 781A:   Comp 5 Runtime total,AK-PC 781A:   Comp 3 Cycles/24h,AK-PC 781A:   Comp 3 Run % 24h,AK-PC 781A:   Comp 2 Runtime total,AK-PC 781A:   Comp 2 Cycles total,AK-PC 781A:   Comp 2 Cycles/24h,AK-PC 781A:   Comp 2 Run % 24h,AK-PC 781A:   Comp Ctrl Ref,AK-PC 781A:   Suction Setpoint,AK-PC 781A:   Comp Running Cap,AK-PC 781A:   Suction temp. To,AK-PC 781A:   Po Pressure,AK-PC 781A:   Comp 4 Cycles/24h,AK-PC 781A:   Comp 4 Cycles total,AK-PC 781A:   Comp 4 Runtime total,AK-PC 781A:   Comp 5 Run % 24h,AK-PC 781A:   Comp 3 Runtime total,AK-PC 781A:   Comp 5 Cycles total,AK-PC 781A:   Comp 1 Cycles total,AK-PC 781A:   Comp 8 Runtime total,AK-PC 781A:   Comp 1 Runtime total,AK-PC 781A:   Comp Request Cap,AK-PC 781A:   Comp 6 Cycles total,AK-PC 781A:   Comp 6 Runtime total,AK-PC 781A:   Comp 7 Run % 24h,AK-PC 781A:   Comp 1 Cycles/24h,AK-PC 781A:   Comp 7 Cycles total,AK-PC 781A:   Comp 9 Runtime total,AK-PC 781A:   Comp10 Run % 24h,AK-PC 781A:   Comp 9 Cycles total,AK-PC 781A:   Comp 1 Run % 24h,AK-PC 781A:   Comp 7 Runtime total,AK-PC 781A:   Comp10 Runtime total,AK-PC 781A:   Comp 3 Cycles total,CTR1 Calor UTA:   --- EKC State,CTR1 Calor UTA:   u24 Valve OD %,CTR1 Calor UTA:   u10 DI1 Status,CTR2 Calor UTA:   u24 Valve OD %,CTR2 Calor UTA:   u10 DI1 Status,CTR2 Calor UTA:   --- EKC State,Controlo Inj. UTA1:   Ext Ref Offset Max,Controlo Inj. UTA1:   Operation Mode,Controlo Inj. UTA1:   DI Main Switch,Controlo Inj. UTA1:   Ext Ref Offset Min,Controlo Inj. UTA1:   Actual SH Reference,Controlo Inj. UTA1:   Actual Superheat,Controlo Inj. UTA1:   Actual OD,Controlo Inj. UTA1:   S2 Suction Pipe,Controlo Inj. UTA1:   Pe Evaporator,Controlo Inj. UTA1:   Te Saturated Evapora,Controlo Inj. UTA1:   External Reference S,Controlo Inj. UTA1:   Act Ext Ref SH Of,Controlo Inj. UTA1:   Operation Status,Controlo Inj. UTA2:   Actual Superheat,Controlo Inj. UTA2:   Act Ext Ref SH Of,Controlo Inj. UTA2:   External Reference S,Controlo Inj. UTA2:   Operation Status,Controlo Inj. UTA2:   Actual SH Reference,Controlo Inj. UTA2:   Te Saturated Evapora,Controlo Inj. UTA2:   Actual OD,Controlo Inj. UTA2:   S2 Suction Pipe,Controlo Inj. UTA2:   Pe Evaporator,Controlo Inj. UTA2:   DI Main Switch,Controlo Inj. UTA2:   Ext Ref Offset Min,Controlo Inj. UTA2:   Ext Ref Offset Max,Controlo Inj. UTA2:   Controller State,Contador Energia:   Phase C kW,Contador Energia:   Peak DMD kW,Contador Energia:   Total kW,Contador Energia:   Total KVAR,Contador Energia:   Phase A kW,Contador Energia:   Phase B kW,Contador Energia:   Demand kW,Contador Energia:   Phase A Volts,Contador Energia:   Phase C Volts,Contador Energia:   Phase B Volts,Contador Energia:   Phase A Amps,Contador Energia:   Phase B Amps,Contador Energia:   Phase C Amps
Units,degc,degc,Bar,,Bar,%,degc,degc,degc,,%,%,degc,degc,degc,degc,Bar,%,degc,degc,degc,%,degc,,%,,degc,degc,degc,,degc,degc,%,degc,,%,%,,,Bar,,,,,%,,degc,%,,,,,,,Bar,degc,degc,degc,,%,degc,%,degc,degc,degc,Bar,degc,,Bar,Bar,degc,,,%,,%,,%,%,,,,,,,%,,,,%,degc,degc,%,degc,Bar,,,,%,,,,,,%,,,%,,,,%,,%,,,,,%,,%,,,degc,,,degc,degc,degc,%,degc,,degc,,degc,,degc,degc,,,degc,degc,%,degc,,,degc,degc,,,,,,,,,,,,,,
Digital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample Rate,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min
 16:00:00  01/08/2019,2.39,85.50,78.27,1,77.41,22,29.17,-9.06,-30.28,1,30,28,32.89,2.11,70.33,-29.00,32.56,0,17.00,15.78,29.11,22,28.22,2,0.00,0,75.72,64.22,84.89,1,65.00,29.11,10.90,30.33,1,0,0,3394,3394,12.69,89502,0,45233,24111,0,0,-8.00,0,3394,1,0,0,0,0,31.99,-1.44,2.39,65.00,0,30,-8.00,29,14.11,5.17,96.28,77.04,-9.22,1,35.52,25.73,-1.89,14.00,50.90,7.80,356,14.10,14.00,16.20,17.00,152.30,118.80,61.80,1387,118,269.90,14.10,73,10681,414.00,12.60,1.00,1.00,0,-1.56,32.14,303.80,7101,101,15.50,101,2732,10718,123,73,0,3539,118,16.50,432.20,1230,53,7.10,346,12.50,123,53,6269,0,2,1,3,1,0,20.00,0,1,0.00,18.28,23.61,53.70,22.28,32.60,-1.39,4.80,9.72,12,21.89,0.22,0.10,12,14.28,-1.39,100.00,20.72,32.60,1,0.00,20.00,2,4.40,30.20,17.30,-5.80,7.50,4.70,18.50,229.90,231.40,231.50,34.30,19.90,20.70
 16:02:00  01/08/2019,2.39,84.50,78.14,1,79.38,19,29.17,-7.89,-29.11,2,29,29,30.72,1.56,71.00,-29.00,32.56,0,15.78,16.11,29.11,19,28.22,2,0.00,0,75.72,64.22,84.33,1,65.00,29.39,25.60,30.33,1,0,0,3394,3394,13.42,89502,0,45233,24111,0,0,-8.00,0,3394,1,0,0,0,0,33.73,0.28,2.39,65.00,0,30,-8.00,29,13.61,5.61,101.06,79.00,-8.11,1,35.52,26.59,-1.89,14.00,50.90,7.80,356,14.10,14.00,16.20,17.00,151.80,118.20,61.80,1387,118,269.10,14.10,73,10681,412.80,12.60,1.00,1.00,0,0.00,33.65,302.90,7101,101,15.50,101,2732,10718,123,73,0,3539,118,16.50,430.80,1230,53,7.10,346,12.50,123,53,6269,0,2,1,3,1,0,20.00,0,1,0.00,12.28,22.11,71.50,22.28,34.20,0.28,2.20,4.50,12,20.61,0.22,0.10,12,13.50,0.28,100.00,21.00,34.20,1,0.00,20.00,2,4.40,30.20,17.30,-5.80,7.50,4.70,18.50,231.00,232.90,232.40,36.30,22.00,20.00
 16:04:00  01/08/2019,2.39,84.50,78.14,1,79.67,2,28.22,-6.78,-27.11,3,38,32,28.39,1.28,70.72,-29.00,32.56,0,14.50,16.50,29.11,0,28.22,2,6.20,0,75.44,64.22,83.94,1,65.00,28.33,31.80,30.33,1,0,0,3394,3394,14.51,89502,0,45233,24111,0,0,-8.00,0,3394,1,0,0,0,0,35.41,1.94,2.39,65.00,0,34,-8.00,29,13.17,6.33,102.78,79.31,-6.94,1,35.52,27.48,-1.89,14.00,50.90,7.80,356,14.10,14.00,16.20,17.00,151.80,118.20,61.30,1387,118,268.60,14.10,73,10681,412.10,12.60,1.00,1.00,2,1.56,35.22,302.40,7101,101,15.50,101,2732,10718,123,73,2,3539,118,16.50,430.20,1230,53,7.10,346,12.50,123,53,6269,0,2,1,3,1,0,20.00,0,1,0.00,12.00,20.72,76.00,22.78,35.90,2.11,2.20,4.50,12,19.39,0.22,0.10,12,13.00,2.11,99.30,21.61,35.90,1,0.00,20.00,2,4.40,30.20,17.30,-5.80,7.50,4.70,18.50,231.00,232.90,232.40,36.30,22.00,20.00
 16:06:00  01/08/2019,5.33,84.11,78.30,1,78.25,30,31.50,-4.22,-27.56,2,53,53,29.56,2.22,68.17,-29.00,32.56,11,10.89,18.28,29.11,30,28.22,9,44.90,0,75.44,64.22,83.39,1,65.00,31.56,28.70,30.33,1,0,0,3394,3394,14.14,89502,0,45233,24111,0,0,-8.00,12,3394,1,0,0,0,0,40.59,7.17,2.39,65.00,0,70,-8.00,64,12.39,8.06,100.17,78.67,-4.33,1,35.52,29.56,-1.89,14.00,50.90,7.80,356,14.10,14.00,16.20,17.00,151.80,118.70,61.30,1387,118,269.80,14.10,73,10684,413.80,12.60,1.00,1.00,34,5.39,38.72,303.50,7103,101,15.50,101,2733,10720,123,73,35,3540,118,16.50,430.80,1230,53,7.10,346,12.50,123,53,6271,0,2,1,3,1,0,20.00,0,1,0.00,11.22,16.00,76.00,21.78,39.60,5.78,2.20,4.28,12,14.39,0.22,0.10,12,12.11,6.00,93.60,20.28,39.80,1,0.00,20.00,2,4.40,30.20,17.30,-5.80,7.50,4.70,18.50,231.00,232.90,232.40,36.30,22.00,20.00
 16:08:00  01/08/2019,5.33,85.33,79.84,1,83.32,12,30.00,-3.94,-27.06,3,60,60,30.94,4.17,70.39,-29.00,32.56,37,11.89,19.11,29.11,12,28.22,9,57.50,0,75.44,64.22,83.06,1,65.00,30.00,53.60,31.06,1,0,0,3394,3394,14.43,89502,0,45233,24111,0,0,-8.00,40,3394,1,0,0,0,0,40.33,7.17,2.39,65.00,0,95,-8.00,95,11.44,7.67,94.94,86.33,-3.67,1,35.52,29.78,-1.89,14.00,51.50,7.80,356,14.10,14.00,16.20,17.00,152.70,118.70,61.30,1387,118,270.40,14.10,73,10685,413.80,12.60,1.00,1.00,48,4.72,37.75,304.00,7104,101,15.50,101,2733,10722,123,73,50,3541,118,16.50,432.00,1231,53,7.10,346,12.50,123,53,6272,0,2,1,3,1,0,20.00,0,1,0.00,12.39,3.50,55.50,8.61,38.70,4.89,2.20,4.28,12,6.11,0.22,0.10,12,14.39,4.89,75.60,11.11,38.70,1,0.00,20.00,2,4.40,30.20,17.30,-5.80,7.50,4.70,18.50,231.00,232.90,232.40,36.30,22.00,20.00
 16:10:00  01/08/2019,5.33,87.39,79.73,1,79.14,72,28.83,-10.94,-28.11,2,66,66,33.06,4.83,72.22,-29.00,32.56,47,13.78,16.56,29.11,72,28.22,9,20.60,0,75.11,64.22,82.44,1,65.00,29.33,35.60,31.06,1,0,0,3394,3394,13.76,89502,0,45233,24111,0,0,-8.00,47,3394,1,0,0,0,0,36.14,3.00,2.39,65.00,0,80,-8.00,86,15.56,4.89,94.61,81.54,-10.50,1,35.52,24.24,-1.89,14.00,51.50,7.80,356,14.10,14.00,16.20,17.00,152.10,118.20,60.70,1387,118,270.40,14.10,73,10687,414.70,12.60,1.00,1.00,52,0.06,33.52,304.00,7105,101,15.50,101,2733,10724,123,73,50,3541,118,16.50,432.70,1231,53,7.10,346,12.50,123,53,6273,0,2,1,3,1,0,20.00,0,1,0.00,15.00,18.39,81.60,19.28,34.60,0.72,2.70,5.39,12,16.72,0.22,0.10,12,15.50,0.72,91.50,17.50,34.60,1,0.00,20.00,2,4.40,30.20,17.30,-5.80,7.50,4.70,18.50,231.00,232.90,232.40,36.30,22.00,20.00
 16:12:00  01/08/2019,5.33,88.11,78.16,1,77.51,49,27.11,-11.78,-30.56,1,57,57,34.83,4.17,69.44,-29.00,32.56,49,12.11,15.11,29.11,49,27.78,9,8.00,0,75.11,64.22,82.11,1,65.00,27.17,29.30,30.28,1,0,0,3394,3394,12.56,89502,0,45233,24111,0,0,-8.00,49,3394,1,0,0,0,0,36.29,3.00,2.39,65.00,0,53,-8.00,53,15.56,3.72,95.78,79.24,-11.89,1,35.52,23.68,-1.89,14.00,51.50,7.80,356,14.10,14.00,16.20,17.00,152.80,118.20,60.70,1387,118,270.40,14.10,73,10687,413.90,12.60,1.00,1.00,52,0.39,33.88,304.00,7105,101,16.00,101,2733,10724,124,73,50,3542,118,16.50,431.90,1231,53,7.10,346,12.50,123,53,6273,0,2,1,3,1,0,20.00,0,1,0.00,17.72,17.72,78.30,18.89,34.60,1.11,3.70,7.50,12,16.72,0.22,0.10,12,15.50,1.11,90.80,17.50,34.60,1,0.00,20.00,2,4.40,30.20,17.30,-5.80,8.10,4.70,16.50,229.70,231.80,231.30,37.30,22.70,19.30
