CNT-Porto Mós CNT-Porto Mós 08141822.csv,,CNT-Porto Mós,1565271398,120
Name,AK-PC 782A:   Trec reference,AK-PC 782A:   Stw2,AK-PC 782A:   Pgc reference,AK-PC 782A:   HP control status,AK-PC 782A:   Pgc,AK-PC 782A:   Cond. requested cap.,AK-PC 782A:   Sgc ctrl.,AK-PC 782A:   Tc-LT,AK-PC 782A:   Suction temp. To-LT,AK-PC 782A:   Actual zone LT,AK-PC 782A:   Requested cap. LT,AK-PC 782A:   Running capacity LT,AK-PC 782A:   Superheat LT,AK-PC 782A:   Ss-LT,AK-PC 782A:   Sd-LT,AK-PC 782A:   Suction reference LT,AK-PC 782A:   Prec reference,AK-PC 782A:   Running capacity IT,AK-PC 782A:   Superheat IT,AK-PC 782A:   Ss-IT,AK-PC 782A:   Sd-IT,AK-PC 782A:   Cond. capacity,AK-PC 782A:   Sc3,AK-PC 782A:   Rec. control status,AK-PC 782A:   Vrec OD,AK-PC 782A:   V3tw,AK-PC 782A:   Stw3,AK-PC 782A:   Stw8,AK-PC 782A:   Stw4,AK-PC 782A:   Tw enable,AK-PC 782A:   Tw reference,AK-PC 782A:   Cond. temp.,AK-PC 782A:   Vhp OD,AK-PC 782A:   Cond. reference,AK-PC 782A:   Ejector status,AK-PC 782A:   Requested capacity,AK-PC 782A:   Vapor ejector capaci,AK-PC 782A:   Ejector 4 cycle,AK-PC 782A:   Ejector 6 cycle,AK-PC 782A:   Po-LT,AK-PC 782A:   Ejector 1 cycle,AK-PC 782A:   V3gc valve,AK-PC 782A:   Ejector 2 cycle,AK-PC 782A:   Ejector 3 cycle,AK-PC 782A:   Ejector OD,AK-PC 782A:   Suction accumulator,AK-PC 782A:   Setpoint MT,AK-PC 782A:   Requested capacit IT,AK-PC 782A:   Ejector 5 cycle,AK-PC 782A:   Ejector stop via DI,AK-PC 782A:   DI 6 input,AK-PC 782A:   Th2 Actual state,AK-PC 782A:   DI 7 input,AK-PC 782A:   DI 2 input,AK-PC 782A:   Prec,AK-PC 782A:   Trec,AK-PC 782A:   Suction reference IT,AK-PC 782A:   Tw setpoint,AK-PC 782A:   Liq. inj. status MT,AK-PC 782A:   Requested cap. MT,AK-PC 782A:   Suction reference MT,AK-PC 782A:   Running capacity MT,AK-PC 782A:   Superheat MT,AK-PC 782A:   Ss-MT,AK-PC 782A:   Sd-MT,AK-PC 782A:   Pc,AK-PC 782A:   Suction temp. To-MT,AK-PC 782A:   Tw control mode,AK-PC 782A:   Prec setpoint,AK-PC 782A:   Po-MT,AK-PC 782A:   Pump down limit IT,AK-PC 781A:   Comp 9 Cycles/24h,AK-PC 781A:   Comp 7 Cycles/24h,AK-PC 781A:   Comp 9 Run % 24h,AK-PC 781A:   Comp10 Cycles total,AK-PC 781A:   Comp 4 Run % 24h,AK-PC 781A:   Comp10 Cycles/24h,AK-PC 781A:   Comp 6 Run % 24h,AK-PC 781A:   Comp 8 Run % 24h,AK-PC 781A:   Comp 6 Cycles/24h,AK-PC 781A:   Comp 5 Cycles/24h,AK-PC 781A:   Comp 8 Cycles/24h,AK-PC 781A:   Comp 8 Cycles total,AK-PC 781A:   Comp 5 Runtime total,AK-PC 781A:   Comp 3 Cycles/24h,AK-PC 781A:   Comp 3 Run % 24h,AK-PC 781A:   Comp 2 Runtime total,AK-PC 781A:   Comp 2 Cycles total,AK-PC 781A:   Comp 2 Cycles/24h,AK-PC 781A:   Comp 2 Run % 24h,AK-PC 781A:   Comp Ctrl Ref,AK-PC 781A:   Suction Setpoint,AK-PC 781A:   Comp Running Cap,AK-PC 781A:   Suction temp. To,AK-PC 781A:   Po Pressure,AK-PC 781A:   Comp 4 Cycles/24h,AK-PC 781A:   Comp 4 Cycles total,AK-PC 781A:   Comp 4 Runtime total,AK-PC 781A:   Comp 5 Run % 24h,AK-PC 781A:   Comp 3 Runtime total,AK-PC 781A:   Comp 5 Cycles total,AK-PC 781A:   Comp 1 Cycles total,AK-PC 781A:   Comp 8 Runtime total,AK-PC 781A:   Comp 1 Runtime total,AK-PC 781A:   Comp Request Cap,AK-PC 781A:   Comp 6 Cycles total,AK-PC 781A:   Comp 6 Runtime total,AK-PC 781A:   Comp 7 Run % 24h,AK-PC 781A:   Comp 1 Cycles/24h,AK-PC 781A:   Comp 7 Cycles total,AK-PC 781A:   Comp 9 Runtime total,AK-PC 781A:   Comp10 Run % 24h,AK-PC 781A:   Comp 9 Cycles total,AK-PC 781A:   Comp 1 Run % 24h,AK-PC 781A:   Comp 7 Runtime total,AK-PC 781A:   Comp10 Runtime total,AK-PC 781A:   Comp 3 Cycles total,Evap.1 Carga Extra:   u21 Superheat,Evap.1 Carga Extra:   u22 Superheat Ref,Evap.1 Carga Extra:   u25 Evap Press Pe,Evap.1 Carga Extra:   u10 DI1 Status,Evap.1 Carga Extra:   u20 S2 Temp,Evap.1 Carga Extra:   u26 Evap Temp Te,Evap.1 Carga Extra:   u24 Valve OD %,Evap.2 Carga Extra:   u22 Superheat Ref,Evap.2 Carga Extra:   u20 S2 Temp,Evap.2 Carga Extra:   u10 DI1 Status,Evap.2 Carga Extra:   u21 Superheat,Evap.2 Carga Extra:   u24 Valve OD %,Evap.2 Carga Extra:   u25 Evap Press Pe,Evap.2 Carga Extra:   u26 Evap Temp Te,Controlo Inj. UTA1:   Ext Ref Offset Max,Controlo Inj. UTA1:   Operation Mode,Controlo Inj. UTA1:   DI Main Switch,Controlo Inj. UTA1:   Ext Ref Offset Min,Controlo Inj. UTA1:   Actual SH Reference,Controlo Inj. UTA1:   Actual Superheat,Controlo Inj. UTA1:   Actual OD,Controlo Inj. UTA1:   S2 Suction Pipe,Controlo Inj. UTA1:   Pe Evaporator,Controlo Inj. UTA1:   Te Saturated Evapora,Controlo Inj. UTA1:   External Reference S,Controlo Inj. UTA1:   Act Ext Ref SH Of,Controlo Inj. UTA1:   Operation Status,Controlo Inj. UTA2:   Actual Superheat,Controlo Inj. UTA2:   Act Ext Ref SH Of,Controlo Inj. UTA2:   External Reference S,Controlo Inj. UTA2:   Operation Status,Controlo Inj. UTA2:   Actual SH Reference,Controlo Inj. UTA2:   Te Saturated Evapora,Controlo Inj. UTA2:   Actual OD,Controlo Inj. UTA2:   S2 Suction Pipe,Controlo Inj. UTA2:   Pe Evaporator,Controlo Inj. UTA2:   DI Main Switch,Controlo Inj. UTA2:   Ext Ref Offset Min,Controlo Inj. UTA2:   Ext Ref Offset Max,Controlo Inj. UTA2:   Controller State,Contador Energia:   Phase C kW,Contador Energia:   Peak DMD kW,Contador Energia:   Total kW,Contador Energia:   Total KVAR,Contador Energia:   Phase A kW,Contador Energia:   Phase B kW,Contador Energia:   Demand kW,Contador Energia:   Phase A Volts,Contador Energia:   Phase C Volts,Contador Energia:   Phase B Volts,Contador Energia:   Phase A Amps,Contador Energia:   Phase B Amps,Contador Energia:   Phase C Amps
Units,degc,degc,Bar,,Bar,%,degc,degc,degc,,%,%,degc,degc,degc,degc,Bar,%,degc,degc,degc,%,degc,,%,,degc,degc,degc,,degc,degc,%,degc,,%,%,,,Bar,,,,,%,,degc,%,,,,,,,Bar,degc,degc,degc,,%,degc,%,degc,degc,degc,Bar,degc,,Bar,Bar,degc,,,%,,%,,%,%,,,,,,,%,,,,%,degc,degc,%,degc,Bar,,,,%,,,,,,%,,,%,,,,%,,%,,,,degc,degc,Bar,,degc,degc,%,degc,degc,,degc,%,Bar,degc,degc,,,degc,degc,degc,%,degc,,degc,,degc,,degc,degc,,,degc,degc,%,degc,,,degc,degc,,,,,,,,,,,,,,
Digital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample Rate,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min
 16:00:00  08/08/2019,5.33,82.56,78.49,7,81.49,81,29.61,-12.00,-31.28,1,26,27,36.06,4.72,68.94,-29.00,33.71,69,13.17,14.67,28.00,81,28.28,9,0.00,0,64.89,65.44,67.22,1,65.00,29.67,0.00,30.28,4,52,52,3827,3827,12.44,98667,0,49913,26520,52,0,-4.00,62,3827,1,0,0,0,0,34.59,1.61,2.39,65.00,0,45,-4.00,50,12.00,0.00,91.67,83.52,-11.83,1,35.52,23.52,-0.61,14.90,73.10,10.30,442,24.40,15.30,27.60,28.80,224.50,167.00,81.20,1871,156,397.20,24.10,98,14396,666.50,18.40,1.00,1.00,45,-1.00,32.35,448.00,9595,134,27.20,134,3684,14426,164,98,42,4813,156,29.20,658.60,1638,67,10.30,433,19.50,164,67,8547,27.50,10.00,34.24,0,28.39,0.78,0,10.00,28.50,0,27.61,0,34.14,0.78,20.00,0,1,0.00,7.00,20.50,100.00,20.11,33.50,-0.39,0.30,0.28,12,21.50,0.22,0.40,12,5.39,-0.61,100.00,20.72,33.30,1,0.00,20.00,2,4.10,30.20,19.50,-5.80,10.90,4.30,19.50,227.90,231.10,231.30,49.00,20.70,19.90
 16:02:00  08/08/2019,5.33,79.94,77.99,7,76.54,54,28.11,-9.00,-30.06,2,21,21,33.83,3.72,68.56,-29.00,33.71,34,14.22,13.61,32.83,54,27.94,9,0.00,0,64.61,65.44,66.72,1,65.00,28.17,0.00,30.28,4,49,52,3827,3827,12.93,98669,0,49914,26520,52,0,-4.00,34,3827,1,0,0,0,0,32.63,-0.67,2.39,65.00,0,19,-4.00,19,10.89,1.89,94.22,76.75,-9.11,1,35.52,25.73,-0.61,15.90,72.60,10.30,442,24.40,15.30,27.60,28.80,225.10,168.10,81.20,1872,156,399.40,24.10,98,14398,667.00,18.40,1.00,1.00,13,-1.50,32.14,448.90,9597,134,27.20,134,3686,14429,164,98,10,4814,156,29.20,660.10,1638,67,10.30,434,19.50,164,67,8550,28.78,10.00,32.66,0,28.00,-0.78,0,10.00,28.11,0,29.00,0,32.66,-0.78,20.00,0,1,0.00,7.00,22.78,100.00,21.50,32.70,-1.28,0.30,0.28,12,23.22,0.22,0.40,12,5.39,-1.28,100.00,21.89,32.60,1,0.00,20.00,2,4.10,30.20,16.90,-5.80,8.20,4.30,19.50,229.10,231.10,231.30,37.50,20.00,20.40
 16:04:00  08/08/2019,5.33,76.89,77.78,7,72.99,47,28.11,-8.72,-29.78,2,20,20,33.06,3.22,68.94,-29.00,33.71,9,16.06,14.56,33.22,47,27.94,9,0.00,0,64.61,65.44,66.72,1,65.00,28.17,0.00,30.28,4,20,23,3827,3827,13.06,98674,0,49917,26522,23,0,-4.00,9,3827,1,0,0,0,0,32.04,-1.56,2.39,65.00,0,18,-4.00,18,11.33,2.56,92.78,72.75,-8.83,1,35.52,25.96,-0.61,15.90,72.60,10.30,442,24.40,15.30,27.60,28.80,225.10,168.90,82.50,1873,156,400.00,24.10,98,14399,667.00,18.40,1.00,1.00,0,-1.50,32.14,448.90,9598,134,27.20,134,3687,14430,164,98,0,4814,156,29.20,660.10,1638,67,10.30,434,19.50,164,67,8551,29.22,10.00,32.27,0,28.00,-1.28,0,10.00,28.11,0,29.28,0,32.16,-1.28,20.00,0,1,0.00,7.00,23.22,100.00,22.00,32.70,-1.28,0.30,0.28,12,23.61,0.22,0.40,12,5.39,-1.28,100.00,22.39,32.60,1,0.00,20.00,2,4.10,30.20,16.90,-5.80,8.20,4.30,19.50,229.10,231.10,231.30,37.50,20.00,20.40
 16:06:00  08/08/2019,5.33,75.44,77.57,7,77.46,43,28.61,-7.17,-29.78,2,19,19,32.33,2.72,69.39,-29.00,33.71,6,16.78,15.22,36.22,43,27.94,9,0.00,0,64.28,65.44,66.17,1,65.00,28.50,0.00,30.00,4,10,10,3827,3827,13.18,98678,0,49919,26522,10,0,-4.00,0,3827,1,0,0,0,0,31.84,-1.56,2.39,65.00,0,23,-4.00,23,10.17,3.11,92.78,77.07,-7.11,1,35.52,27.18,-0.61,15.90,72.60,10.30,442,24.40,14.80,27.60,28.80,224.60,168.90,82.50,1873,156,400.00,24.10,98,14399,666.40,18.40,1.00,1.00,0,-1.50,31.96,448.90,9598,134,27.20,134,3687,14430,164,98,0,4814,156,29.20,659.60,1638,67,10.30,434,19.50,164,67,8551,29.22,10.00,31.97,0,28.00,-1.28,0,10.00,27.78,0,29.28,0,31.97,-1.61,20.00,0,1,0.00,6.72,23.78,100.00,22.28,32.70,-1.28,0.30,0.28,12,24.11,0.22,0.40,12,5.39,-1.28,100.00,22.39,32.60,1,0.00,20.00,2,4.10,30.20,16.90,-5.80,8.20,4.30,19.50,229.10,231.10,231.30,37.50,20.00,20.40
 16:08:00  08/08/2019,5.33,75.44,77.48,7,80.75,36,28.61,-7.17,-27.67,2,26,26,29.72,2.06,70.17,-29.00,33.71,6,15.39,17.06,36.56,36,28.28,9,0.00,0,64.00,65.44,66.17,1,65.00,28.50,0.00,30.00,4,18,19,3827,3827,14.14,98679,0,49920,26523,19,0,-4.00,1,3827,1,0,0,0,0,34.88,1.50,2.39,65.00,0,26,-4.00,26,11.72,4.72,97.00,80.38,-7.11,1,35.52,27.29,-0.61,15.90,72.60,10.30,442,24.40,14.80,27.60,28.80,224.60,168.20,82.50,1873,156,398.70,24.10,98,14399,664.90,18.40,1.00,1.00,0,1.17,34.74,447.70,9598,134,27.20,134,3687,14430,164,98,2,4814,156,28.70,658.10,1638,67,10.30,434,19.50,164,67,8551,26.11,10.00,35.03,0,28.00,1.72,0,10.00,27.78,0,26.22,0,35.03,1.61,20.00,0,1,0.00,6.72,21.28,100.00,22.28,33.30,-0.61,0.30,0.28,12,23.28,0.22,0.40,12,5.39,-0.50,100.00,22.78,33.30,1,0.00,20.00,2,4.10,30.20,16.90,-5.80,8.20,4.30,19.50,229.10,231.10,231.30,37.50,20.00,20.40
 16:10:00  08/08/2019,5.33,75.00,77.71,7,79.97,22,28.11,-5.78,-27.67,3,31,31,29.33,2.06,69.89,-29.00,33.71,11,14.00,18.56,36.56,22,28.56,9,6.70,0,64.00,65.44,66.50,1,65.00,28.06,0.00,30.00,4,18,19,3827,3827,14.18,98679,0,49920,26523,19,0,-4.00,12,3827,1,0,0,0,0,37.80,4.33,2.39,65.00,0,34,-4.00,29,11.72,5.94,98.28,79.88,-6.00,1,35.52,28.27,-0.61,15.90,72.10,10.30,442,24.40,14.80,27.60,28.80,223.90,168.20,82.50,1873,156,399.30,24.10,98,14400,664.90,18.40,1.00,1.00,13,3.61,37.16,447.20,9598,134,27.20,134,3687,14432,164,98,13,4814,156,28.70,659.30,1638,67,10.30,434,19.50,164,67,8552,23.50,10.00,38.08,0,28.28,4.78,0,10.00,28.28,0,23.50,0,37.99,4.72,20.00,0,1,0.00,5.89,18.78,100.00,23.00,37.90,4.11,0.30,0.28,12,19.11,0.22,0.40,12,5.39,4.22,100.00,23.39,37.90,1,0.00,20.00,2,4.10,30.20,16.90,-5.80,8.20,4.30,19.50,229.10,231.10,231.30,37.50,20.00,20.40
 16:12:00  08/08/2019,5.33,75.28,78.10,7,85.48,30,29.83,-5.22,-27.67,3,36,32,30.39,3.11,71.17,-29.00,33.71,43,12.11,18.94,31.78,30,28.94,9,31.20,0,63.72,65.44,66.50,1,65.00,29.56,0.00,30.28,4,42,42,3828,3827,14.23,98684,0,49922,26524,42,0,-4.00,43,3827,1,0,0,0,0,40.23,6.89,2.39,65.00,0,54,-4.00,54,11.44,5.94,95.11,86.85,-5.17,1,35.52,28.75,-0.61,15.90,72.10,10.30,442,24.40,14.80,27.60,28.80,225.70,167.70,82.00,1873,156,399.90,24.10,98,14402,666.30,18.40,1.00,1.00,36,4.89,38.25,448.60,9600,134,27.20,134,3687,14433,164,98,37,4816,156,28.70,659.30,1638,67,10.30,434,19.50,164,67,8553,21.78,10.00,40.16,0,28.72,6.78,0,10.00,28.89,0,22.11,0,40.06,6.78,20.00,0,1,0.00,5.89,15.11,99.30,20.89,39.50,5.72,0.30,0.28,12,16.78,0.22,0.40,12,5.39,5.61,100.00,22.50,39.30,1,0.00,20.00,2,4.60,30.20,17.40,-5.80,8.20,4.80,18.00,227.80,230.00,230.40,37.00,22.10,21.70
