CNT-Porto Mós CNT-Porto Mós 08221642.csv,,CNT-Porto Mós,1565857360,120
Name,AK-PC 782A:   Trec reference,AK-PC 782A:   Stw2,AK-PC 782A:   Pgc reference,AK-PC 782A:   HP control status,AK-PC 782A:   Pgc,AK-PC 782A:   Cond. requested cap.,AK-PC 782A:   Sgc ctrl.,AK-PC 782A:   Tc-LT,AK-PC 782A:   Suction temp. To-LT,AK-PC 782A:   Actual zone LT,AK-PC 782A:   Requested cap. LT,AK-PC 782A:   Running capacity LT,AK-PC 782A:   Superheat LT,AK-PC 782A:   Ss-LT,AK-PC 782A:   Sd-LT,AK-PC 782A:   Suction reference LT,AK-PC 782A:   Prec reference,AK-PC 782A:   Running capacity IT,AK-PC 782A:   Superheat IT,AK-PC 782A:   Ss-IT,AK-PC 782A:   Sd-IT,AK-PC 782A:   Cond. capacity,AK-PC 782A:   Sc3,AK-PC 782A:   Rec. control status,AK-PC 782A:   Vrec OD,AK-PC 782A:   V3tw,AK-PC 782A:   Stw3,AK-PC 782A:   Stw8,AK-PC 782A:   Stw4,AK-PC 782A:   Tw enable,AK-PC 782A:   Tw reference,AK-PC 782A:   Cond. temp.,AK-PC 782A:   Vhp OD,AK-PC 782A:   Cond. reference,AK-PC 782A:   Ejector status,AK-PC 782A:   Requested capacity,AK-PC 782A:   Vapor ejector capaci,AK-PC 782A:   Ejector 4 cycle,AK-PC 782A:   Ejector 6 cycle,AK-PC 782A:   Po-LT,AK-PC 782A:   Ejector 1 cycle,AK-PC 782A:   V3gc valve,AK-PC 782A:   Ejector 2 cycle,AK-PC 782A:   Ejector 3 cycle,AK-PC 782A:   Ejector OD,AK-PC 782A:   Suction accumulator,AK-PC 782A:   Setpoint MT,AK-PC 782A:   Requested capacit IT,AK-PC 782A:   Ejector 5 cycle,AK-PC 782A:   Ejector stop via DI,AK-PC 782A:   DI 6 input,AK-PC 782A:   Th2 Actual state,AK-PC 782A:   DI 7 input,AK-PC 782A:   DI 2 input,AK-PC 782A:   Prec,AK-PC 782A:   Trec,AK-PC 782A:   Suction reference IT,AK-PC 782A:   Tw setpoint,AK-PC 782A:   Liq. inj. status MT,AK-PC 782A:   Requested cap. MT,AK-PC 782A:   Suction reference MT,AK-PC 782A:   Running capacity MT,AK-PC 782A:   Superheat MT,AK-PC 782A:   Ss-MT,AK-PC 782A:   Sd-MT,AK-PC 782A:   Pc,AK-PC 782A:   Suction temp. To-MT,AK-PC 782A:   Tw control mode,AK-PC 782A:   Prec setpoint,AK-PC 782A:   Po-MT,AK-PC 782A:   Pump down limit IT,CTR1 Calor UTA:   --- EKC State,CTR1 Calor UTA:   u24 Valve OD %,CTR1 Calor UTA:   u10 DI1 Status,CTR2 Calor UTA:   u24 Valve OD %,CTR2 Calor UTA:   u10 DI1 Status,CTR2 Calor UTA:   --- EKC State,Evap.1 Carga Extra:   u21 Superheat,Evap.1 Carga Extra:   u22 Superheat Ref,Evap.1 Carga Extra:   u25 Evap Press Pe,Evap.1 Carga Extra:   u10 DI1 Status,Evap.1 Carga Extra:   u20 S2 Temp,Evap.1 Carga Extra:   u26 Evap Temp Te,Evap.1 Carga Extra:   u24 Valve OD %,Evap.2 Carga Extra:   u22 Superheat Ref,Evap.2 Carga Extra:   u20 S2 Temp,Evap.2 Carga Extra:   u10 DI1 Status,Evap.2 Carga Extra:   u21 Superheat,Evap.2 Carga Extra:   u24 Valve OD %,Evap.2 Carga Extra:   u25 Evap Press Pe,Evap.2 Carga Extra:   u26 Evap Temp Te,Controlo Inj. UTA1:   Ext Ref Offset Max,Controlo Inj. UTA1:   Operation Mode,Controlo Inj. UTA1:   DI Main Switch,Controlo Inj. UTA1:   Ext Ref Offset Min,Controlo Inj. UTA1:   Actual SH Reference,Controlo Inj. UTA1:   Actual Superheat,Controlo Inj. UTA1:   Actual OD,Controlo Inj. UTA1:   S2 Suction Pipe,Controlo Inj. UTA1:   Pe Evaporator,Controlo Inj. UTA1:   Te Saturated Evapora,Controlo Inj. UTA1:   External Reference S,Controlo Inj. UTA1:   Act Ext Ref SH Of,Controlo Inj. UTA1:   Operation Status,Controlo Inj. UTA2:   Actual Superheat,Controlo Inj. UTA2:   Act Ext Ref SH Of,Controlo Inj. UTA2:   External Reference S,Controlo Inj. UTA2:   Operation Status,Controlo Inj. UTA2:   Actual SH Reference,Controlo Inj. UTA2:   Te Saturated Evapora,Controlo Inj. UTA2:   Actual OD,Controlo Inj. UTA2:   S2 Suction Pipe,Controlo Inj. UTA2:   Pe Evaporator,Controlo Inj. UTA2:   DI Main Switch,Controlo Inj. UTA2:   Ext Ref Offset Min,Controlo Inj. UTA2:   Ext Ref Offset Max,Controlo Inj. UTA2:   Controller State,Contador Energia:   Phase C kW,Contador Energia:   Peak DMD kW,Contador Energia:   Total kW,Contador Energia:   Total KVAR,Contador Energia:   Phase A kW,Contador Energia:   Phase B kW,Contador Energia:   Demand kW,Contador Energia:   Phase A Volts,Contador Energia:   Phase C Volts,Contador Energia:   Phase B Volts,Contador Energia:   Phase A Amps,Contador Energia:   Phase B Amps,Contador Energia:   Phase C Amps
Units,degc,degc,Bar,,Bar,%,degc,degc,degc,,%,%,degc,degc,degc,degc,Bar,%,degc,degc,degc,%,degc,,%,,degc,degc,degc,,degc,degc,%,degc,,%,%,,,Bar,,,,,%,,degc,%,,,,,,,Bar,degc,degc,degc,,%,degc,%,degc,degc,degc,Bar,degc,,Bar,Bar,degc,,%,,%,,,degc,degc,Bar,,degc,degc,%,degc,degc,,degc,%,Bar,degc,degc,,,degc,degc,degc,%,degc,,degc,,degc,,degc,degc,,,degc,degc,%,degc,,,degc,degc,,,,,,,,,,,,,,
Digital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample Rate,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min
 16:00:00  15/08/2019,5.33,75.28,83.55,1,81.97,35,31.50,-8.11,-28.22,2,56,56,31.22,3.00,67.56,-29.00,32.56,46,12.22,14.17,31.00,35,30.83,9,0.00,0,61.50,64.56,62.72,1,65.00,31.50,28.40,32.72,4,0,0,3837,3836,13.78,98852,0,50011,26570,0,0,-8.00,46,3836,1,0,0,0,0,35.02,1.94,2.39,65.00,0,34,-8.00,29,13.78,5.33,96.94,82.65,-8.61,1,35.52,26.40,-1.89,0,2,1,2,1,0,32.61,10.00,34.93,0,34.00,1.50,0,10.00,34.78,0,33.11,0,34.83,1.50,20.00,0,1,0.00,19.11,19.11,37.70,21.50,36.10,2.28,7.20,13.89,12,16.11,5.89,3.30,12,14.28,2.61,48.50,18.78,36.40,1,0.00,20.00,2,4.50,30.20,20.70,-5.80,8.00,7.90,20.70,233.30,235.40,233.80,36.40,35.00,21.00
 16:02:00  15/08/2019,5.33,75.28,83.55,1,81.97,35,31.50,-8.11,-28.22,2,56,56,31.22,3.00,67.56,-29.00,32.56,46,12.22,14.17,31.00,35,30.83,9,0.00,0,61.50,64.56,62.72,1,65.00,31.50,28.40,32.72,4,0,0,3837,3836,13.78,98852,0,50011,26570,0,0,-8.00,46,3836,1,0,0,0,0,35.02,1.94,2.39,65.00,0,34,-8.00,29,13.78,5.33,96.94,82.65,-8.61,1,35.52,26.40,-1.89,0,2,1,2,1,0,32.61,10.00,34.93,0,34.00,1.50,0,10.00,34.78,0,33.11,0,34.83,1.50,20.00,0,1,0.00,19.11,19.11,37.70,21.50,36.10,2.28,7.20,13.89,12,16.11,5.89,3.30,12,14.28,2.61,48.50,18.78,36.40,1,0.00,20.00,2,4.50,30.20,17.20,-5.80,8.00,4.40,20.70,233.30,234.50,234.60,36.40,20.00,21.00
 16:04:00  15/08/2019,5.33,73.72,83.67,1,83.73,31,32.00,-6.28,-28.67,2,57,57,31.22,3.00,68.94,-29.00,32.56,45,10.22,12.33,30.72,31,30.83,9,0.00,0,61.50,64.28,61.72,1,65.00,31.89,29.40,32.72,4,0,0,3837,3836,13.60,98852,0,50011,26570,0,0,-8.00,45,3836,1,0,0,0,0,35.33,1.94,2.39,65.00,0,43,-8.00,29,14.33,8.06,94.61,84.44,-6.33,1,35.52,27.88,-1.89,0,2,1,2,1,0,32.28,10.00,35.22,0,34.00,1.89,0,10.00,34.78,0,33.11,0,35.12,1.78,20.00,0,1,0.00,16.78,18.39,39.60,21.22,36.10,2.72,5.90,11.78,12,14.22,6.50,3.30,12,14.28,3.00,47.30,17.28,36.40,1,0.00,20.00,2,4.50,30.20,17.20,-5.80,8.00,4.40,20.70,233.30,234.50,234.60,36.40,20.00,21.00
 16:06:00  15/08/2019,5.33,74.78,83.67,1,85.77,64,29.56,-9.72,-28.67,2,57,57,31.22,3.00,70.94,-29.00,32.56,46,7.39,10.06,30.72,64,30.50,9,0.00,0,61.22,64.00,61.72,1,65.00,29.72,33.90,32.72,4,0,0,3837,3836,13.60,98852,0,50011,26570,0,0,-8.00,46,3836,1,0,0,0,0,35.85,2.61,2.39,65.00,0,38,-8.00,50,16.44,6.78,93.17,86.85,-9.50,1,35.52,25.15,-1.89,0,2,1,2,1,0,31.78,10.00,35.71,0,34.00,2.39,0,10.00,34.78,0,32.39,0,35.62,2.28,20.00,0,1,0.00,16.22,17.00,39.60,20.61,37.20,3.50,5.90,11.22,12,13.00,7.50,3.30,12,15.00,3.50,43.60,16.61,37.30,1,0.00,20.00,2,4.50,30.20,17.20,-5.80,8.00,4.40,20.70,233.30,234.50,234.60,36.40,20.00,21.00
 16:08:00  15/08/2019,5.33,74.33,83.29,1,83.34,40,29.56,-7.50,-28.67,2,58,58,31.94,3.00,68.89,-29.00,32.56,46,9.33,11.72,30.72,40,30.50,9,0.00,0,61.22,63.72,61.72,1,65.00,29.72,29.90,32.72,4,0,0,3837,3836,13.46,98852,0,50011,26570,0,0,-8.00,46,3836,1,0,0,0,0,35.54,2.61,2.39,65.00,0,36,-8.00,29,16.44,9.22,93.72,84.07,-7.61,1,35.52,26.92,-1.89,0,2,1,2,1,0,31.78,10.00,35.42,0,34.00,2.11,0,10.00,34.78,0,32.39,0,35.32,2.00,20.00,0,1,0.00,17.61,17.00,39.60,20.00,37.20,3.11,5.90,12.61,12,14.72,8.22,4.10,12,15.00,3.11,43.60,17.89,36.80,1,0.00,20.00,2,4.50,30.20,17.20,-5.80,8.00,4.40,20.70,233.30,234.50,234.60,36.40,20.00,21.00
 16:10:00  15/08/2019,5.33,73.83,83.05,1,83.23,33,30.72,-6.22,-29.61,2,55,55,32.56,3.00,70.61,-29.00,32.56,45,9.83,11.72,30.72,33,30.50,9,0.00,0,61.22,63.39,61.00,1,65.00,30.67,30.50,32.72,4,0,0,3837,3836,13.14,98852,0,50011,26570,0,0,-8.00,45,3836,1,0,0,0,0,35.24,2.11,2.39,65.00,0,45,-8.00,29,17.06,10.83,93.00,83.87,-6.28,1,35.52,27.93,-1.89,0,2,1,2,1,0,32.22,10.00,35.12,0,34.00,1.78,0,10.00,34.78,0,32.78,0,35.03,1.72,20.00,0,1,0.00,19.72,18.11,37.20,20.78,36.40,2.61,7.30,14.72,12,15.89,8.50,4.10,12,15.39,2.78,45.50,18.78,36.80,1,0.00,20.00,2,4.50,30.20,17.20,-5.80,8.00,4.40,20.70,233.30,234.50,234.60,36.40,20.00,21.00
 16:12:00  15/08/2019,5.33,73.83,83.05,1,83.23,33,30.72,-6.22,-29.61,2,55,55,32.56,3.00,70.61,-29.00,32.56,45,9.83,11.72,30.72,33,30.50,9,0.00,0,61.22,63.39,61.00,1,65.00,30.67,30.50,32.72,4,0,0,3837,3836,13.14,98852,0,50011,26570,0,0,-8.00,45,3836,1,0,0,0,0,35.24,2.11,2.39,65.00,0,45,-8.00,29,17.06,10.83,93.00,83.87,-6.28,1,35.52,27.93,-1.89,0,2,1,2,1,0,32.22,10.00,35.12,0,34.00,1.78,0,10.00,34.78,0,32.78,0,35.03,1.72,20.00,0,1,0.00,19.72,18.11,37.20,20.78,36.40,2.61,7.30,14.72,12,15.89,8.50,4.10,12,15.39,2.78,45.50,18.78,36.80,1,0.00,20.00,2,4.50,30.20,16.60,-5.10,8.00,4.40,18.30,233.30,234.50,234.60,34.30,21.20,19.20
