time;suction_mt;rc_mt_comp1;tamb;mt_comp1;mt_comp2;mt_comp3;mt_comp4;mt_pwr_tot;suction_lt;rc_lt_comp1;lt_comp1;lt_comp2;lt_comp3;lt_pwr_tot
01 01 2019 00:00:00;-14.1;68;6.2;Active;Inactive;Inactive;Active;24;-32.2;66;Active;Inactive;Active;19.2
01 01 2019 00:05:00;-8.4;64;6.1;Active;Inactive;Inactive;Inactive;31.2;-33.3;37;Active;Inactive;Active;19.2
01 01 2019 00:10:00;-15.7;33;6.1;Active;Inactive;Inactive;Active;31.2;-31.4;79;Active;Inactive;Active;21.6
01 01 2019 00:15:00;-11.1;55;6.1;Active;Inactive;Inactive;Inactive;24;-35.1;0;Active;Inactive;Active;13.2
01 01 2019 00:20:00;-17;1;6;Active;Inactive;Inactive;Active;20.4;-32.9;70;Active;Inactive;Inactive;19.2
01 01 2019 00:25:00;-15.4;33;6;Active;Inactive;Inactive;Active;30;-31.4;78;Active;Inactive;Active;18
01 01 2019 00:30:00;-15.7;29;6;Active;Inactive;Inactive;Inactive;27.6;-32.4;66;Active;Inactive;Inactive;19.2
01 01 2019 00:35:00;-15.8;24;6;Active;Inactive;Inactive;Inactive;26.4;-31.5;85;Active;Inactive;Inactive;19.2
01 01 2019 00:40:00;-14.1;55;5.9;Active;Inactive;Inactive;Active;26.4;-33.7;33;Active;Inactive;Active;18
01 01 2019 00:45:00;-11.9;95;5.9;Active;Inactive;Inactive;Inactive;28.8;-34.6;0;Inactive;Inactive;Inactive;18
01 01 2019 00:50:00;-14.9;38;5.9;Active;Inactive;Inactive;Active;33.6;-32.6;54;Active;Inactive;Active;19.2
01 01 2019 00:55:00;-15.2;36;5.8;Active;Inactive;Inactive;Inactive;27.6;-31.6;76;Active;Inactive;Inactive;19.2
01 01 2019 01:00:00;-15.8;23;5.7;Active;Inactive;Inactive;Active;28.8;-33.7;36;Active;Inactive;Inactive;19.2
01 01 2019 01:05:00;-14.4;48;5.7;Active;Inactive;Inactive;Inactive;28.8;-32.7;51;Active;Inactive;Active;18
01 01 2019 01:10:00;-12.7;85;5.7;Active;Inactive;Inactive;Inactive;26.4;-34.4;27;Active;Inactive;Inactive;19.2
01 01 2019 01:15:00;-12.4;87;5.7;Active;Inactive;Inactive;Inactive;33.6;-31;91;Active;Inactive;Active;19.2
01 01 2019 01:20:00;-15.2;35;5.7;Active;Inactive;Inactive;Active;22.8;-35.2;25;Active;Inactive;Active;14.4
01 01 2019 01:25:00;-12.6;87;5.7;Active;Inactive;Inactive;Inactive;26.4;-32.6;86;Active;Inactive;Inactive;16.8
01 01 2019 01:30:00;-9.5;100;5.7;Active;Inactive;Inactive;Inactive;27.6;-28.1;72;Active;Inactive;Inactive;20.4
01 01 2019 01:35:00;-18.2;40;5.7;Active;Inactive;Inactive;Inactive;25.2;-32.3;66;Active;Inactive;Active;18
01 01 2019 01:40:00;-14.6;48;5.6;Active;Inactive;Inactive;Inactive;20.4;-34.3;34;Active;Inactive;Inactive;18
01 01 2019 01:45:00;-12.6;85;5.5;Active;Inactive;Inactive;Inactive;31.2;-29.5;84;Active;Inactive;Inactive;18
01 01 2019 01:50:00;-10;100;5.5;Active;Inactive;Inactive;Inactive;28.8;-35.2;0;Active;Inactive;Active;19.2
01 01 2019 01:55:00;-16.2;17;5.5;Active;Inactive;Inactive;Inactive;28.8;-30.8;96;Active;Inactive;Inactive;18
01 01 2019 02:00:00;-13;81;5.4;Active;Active;Inactive;Inactive;24;-33.5;49;Active;Inactive;Active;18
01 01 2019 02:05:00;-14.1;55;5.4;Active;Inactive;Inactive;Inactive;27.6;-32.9;0;Inactive;Inactive;Inactive;16.8
01 01 2019 02:10:00;-14.4;48;5.2;Active;Active;Inactive;Inactive;30;-31.2;90;Active;Inactive;Inactive;19.2
01 01 2019 02:15:00;-16.8;4;5.2;Active;Active;Inactive;Inactive;31.2;-33.1;52;Active;Inactive;Active;14.4
01 01 2019 02:20:00;-15;37;5.2;Active;Active;Inactive;Inactive;22.8;-33.2;65;Active;Inactive;Inactive;16.8
01 01 2019 02:25:00;-14.1;58;5.2;Active;Inactive;Inactive;Inactive;24;-32.5;54;Active;Inactive;Inactive;18
01 01 2019 02:30:00;-10.5;100;5.2;Active;Inactive;Inactive;Inactive;30;-32.9;45;Active;Inactive;Active;19.2
01 01 2019 02:35:00;-14.4;49;5.2;Active;Inactive;Inactive;Inactive;26.4;-32;80;Active;Inactive;Inactive;16.8
01 01 2019 02:40:00;-15.2;37;5.1;Active;Inactive;Inactive;Inactive;30;-31.3;95;Active;Inactive;Inactive;20.4
01 01 2019 02:45:00;-16;20;5.1;Active;Active;Inactive;Inactive;25.2;-33.3;45;Active;Inactive;Active;16.8
01 01 2019 02:50:00;-12.6;87;5;Active;Inactive;Inactive;Inactive;30;-32.5;0;Inactive;Inactive;Inactive;16.8
01 01 2019 02:55:00;-15;48;4.9;Active;Inactive;Inactive;Inactive;20.4;-30.2;100;Active;Inactive;Inactive;18
01 01 2019 03:00:00;-5.4;57;4.8;Active;Inactive;Inactive;Inactive;36;-29.9;64;Active;Inactive;Active;19.2
01 01 2019 03:05:00;-14.9;45;4.8;Active;Inactive;Inactive;Inactive;20.4;-30.6;100;Active;Inactive;Inactive;16.8
01 01 2019 03:10:00;-9.1;53;4.8;Active;Active;Inactive;Inactive;31.2;-32;69;Active;Inactive;Inactive;14.4
01 01 2019 03:15:00;-7.4;100;4.8;Active;Inactive;Inactive;Inactive;25.2;-34.5;16;Active;Inactive;Active;18
01 01 2019 03:20:00;-13.7;64;4.7;Active;Inactive;Inactive;Inactive;24;-30.6;100;Active;Inactive;Inactive;19.2
01 01 2019 03:25:00;-11.2;62;4.7;Active;Inactive;Active;Inactive;26.4;-31;96;Active;Inactive;Inactive;21.6
01 01 2019 03:30:00;-14.8;40;4.7;Active;Active;Inactive;Inactive;32.4;-31.1;94;Active;Inactive;Inactive;20.4
01 01 2019 03:35:00;-16;23;4.7;Active;Active;Inactive;Inactive;22.8;-33.4;42;Active;Inactive;Inactive;20.4
01 01 2019 03:40:00;-12;54;4.7;Active;Inactive;Inactive;Inactive;30;-34.7;8;Active;Inactive;Inactive;20.4
01 01 2019 03:45:00;-12.7;83;4.7;Active;Active;Inactive;Inactive;32.4;-31.7;71;Active;Inactive;Active;19.2
01 01 2019 03:50:00;-15.2;30;4.7;Active;Inactive;Inactive;Inactive;31.2;-32.3;66;Active;Inactive;Inactive;16.8
